,sunb_name,contents_origin,ingd_code
3937,퍼페나진데카노에이트(Perphenazine Decanoate),제산제 복용시 이 약의 흡수가 저하되어 치료효과가 감소할 수 있어요.,
3938,퍼페나진데카노에이트(Perphenazine Decanoate),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
3939,퍼페나진에난테이트(Perphenazine Enantate),"음주를 삼가세요. 음주시 졸음, 정신운동기능저하, 저혈압 증상 등이 나타날 수 있어요.",
3940,퍼페나진에난테이트(Perphenazine Enantate),{{카페인}} 복용시 주의하세요. 카페인은 이 약의 흡수를 저해하여 치료효과를 감소시킬 수 있어요.,
3941,퍼페나진에난테이트(Perphenazine Enantate),제산제 복용시 이 약의 흡수가 저하되어 치료효과가 감소할 수 있어요.,
3942,퍼페나진에난테이트(Perphenazine Enantate),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
3943,피치커넬오일(Peach Kernel Oil),,
3944,백일해면역글로불린(Pertussis Immunoglobulin),,
3945,백일해백신(Pertussis Vaccine),,
3946,페루발삼(Peru Balsam),,
3947,페루보사이드(Peruvoside),,
3948,페티딘염산염(Pethidine Hydrochloride),"마약성진통제를 사용하는 동안 음주를 하지 마세요. 알코올(술)로 인해 혼수, 사망과 같은 치명적인 부작용의 위험이 증가할 수 있어요. ",
3949,석유벤진(Petroleum Benzin),,
3950,페나세미드(Phenacemide),,
3951,페나세틴(Phenacetin),,
3952,염산페나마지드(Phenamazide Hydrochloride),,
3953,페나미딘이세티오네이트(Phenamidine Isetionate),,
3954,페나제팜(Phenazepam),,
3955,페나조신브롬화수소산염(Phenazocine Hydrobromide),,
3956,안티피린(Antipyrine),,
3957,미그레닌(Migrenin),,
3958,페나존살리실레이트(Phenazone Salicylate),,
3959,페나조피리딘염산염(Phenazopyridine Hydrochloride),식사와 함께 복용하면 위장장애를 줄일 수 있어요. 빈 속에 복용시 위장장애가 있을 수 있어요.,
3960,염산펜사이클리딘(Phencyclidine Hydrochloride),,
3961,펜디메트라진타르타르산염(Phendimetrazine Tartrate),,
3962,페넬진황산염(Phenelzine Sulfate),,
3963,페닐에틸알코올(Phenylethyl Alcohol),,
3964,페네티실린칼륨(Phenethicillin Potassium),,
3965,페네투라이드(Pheneturide),,
3966,염산펜포민(Phenformin Hydrochloride),,
3967,페니카바지드(Phenicarbazide),,
3968,주석산페닌다민(Phenindamine Tartrate),,
3969,페닌디온(Phenindione),,
3970,페니라민(Pheniramine),,
3971,페니라민아미노살리실레이트(Pheniramine Aminosalicylate),,
3972,페니라민말레산염(Pheniramine Maleate),,
3973,펜메트라진염산염(Phenmetrazine Hydrochloride),,
3974,페노바르비탈(Phenobarbital),음주를 삼가세요. 음주시 이 약의 약효가 수면 운전과 같은 치명적인 부작용이 나타날 수 있어요.,
3975,페노바르비탈(Phenobarbital),{{카페인}} 복용시 주의하세요. 과량의 카페인 섭취 시 이 약의 진정효과가 저해될 수 있어요.,
3976,페노바르비탈(Phenobarbital),이 약의 복용으로 칼슘 또는 비타민 D의 혈중농도가 저하될 수 있어요. 칼슘 또는 비타민 D를 함유한 보충제의 복용으로 도움을 줄 수 있어요. ,
3977,페노바르비탈나트륨(Phenobarbital Sodium),음주를 삼가세요. 음주시 이 약의 약효가 수면 운전과 같은 치명적인 부작용이 나타날 수 있어요.,
3978,페노바르비탈나트륨(Phenobarbital Sodium),{{카페인}} 복용시 주의하세요. 과량의 카페인 섭취 시 이 약의 진정효과가 저해될 수 있어요.,
3979,페노바르비탈나트륨(Phenobarbital Sodium),이 약의 복용으로 칼슘 또는 비타민 D의 혈중농도가 저하될 수 있어요. 칼슘 또는 비타민 D를 함유한 보충제의 복용으로 도움을 줄 수 있어요. ,
3980,페놀(Phenol),,
3981,페놀프탈레인(Phenolphthalein),,
3982,페놀설폰프탈레인(Phenolsulfonphthalein),,
3983,염산페노페리딘(Phenoperidine Hydrochloride),,
3984,d-페노트린(d-Phenothrin),,
3985,페녹시벤자민염산염(Phenoxybenzamine Hydrochloride),,
3986,페녹시에탄올(Phenoxyethanol),,
3987,페녹시이소프로판올(Phenoxyisopropanol),,
3988,펜옥시메틸페니실린(Phenoxymethylpenicillin),,
3989,펜옥시메틸페니실린칼슘(Phenoxymethylpenicillin Calcium),,
3990,펜옥시메틸페니실린칼륨(Phenoxymethylpenicillin Potassium),,
3991,펜프로바메이트(Phenprobamate),,
3992,펜프로코우몬(Phenprocoumon),,
3993,펜숙시미드(Phensuximide),,
3994,펜터민(Phentermine),공복(식전 또는 식사 1~2시간 이후)에 복용하세요.,
3995,펜터민(Phentermine),음주를 삼가세요. 부작용의 위험성이 커질 수 있어요.,
3996,펜터민염산염(Phentermine Hydrochloride),공복(식전 또는 식사 1~2시간 이후)에 복용하세요.,
3997,펜터민염산염(Phentermine Hydrochloride),음주를 삼가세요. 부작용의 위험성이 커질 수 있어요.,
3998,펜톨라민메실산염(Phentolamine Mesylate),,
3999,L-페닐알라닌(L-Phenylalanine),,
4000,페닐부타존(Phenylbutazone),,
4001,페닐레프린(Phenylephrine),,
4002,페닐레프린타르타르산염(Phenylephrine Tartrate),,
4003,페닐레프린염산염(Phenylephrine Hydrochloride),,
4004,페닐히드라진염산염(Phenylhydrazine Hydrochloride),,
4005,페닐제이수은아세트산염(Phenylmercuric Acetate),,
4006,페닐제이수은붕산염(Phenylmercuric Borate),,
4007,페닐제이수은질산염(Phenylmercuric Nitrate),,
4008,페닐제이수은염(Phenylmercuric Salts),,
4009,페닐프로판올(Phenylpropanol),,
4010,페닐프로판올아민(Phenylpropanolamine),,
4011,페닐프로판올아민염산염(Phenylpropanolamine Hydrochloride),,
4012,페닐톨록사민시트르산염(Phenyltoloxamine Citrate),,
4013,페니토인(Phenytoin),음주를 삼가세요. 음주시 이 약의 약효가 감소하거나 이 약의 부작용인 느린 맥박과 졸음이 심해질 수 있어요.,
4014,페니토인(Phenytoin),칼슘 또는 마그네슘 함유 제산제 복용시 이 약의 흡수가 저해될 수 있어요. 이 약과 최소 2시간의 시간 간격을 두고 제산제를 복용하세요.,
4015,페니토인(Phenytoin),이 약을 장기복용시 혈중 칼슘 또는 비타민 D의 농도가 낮아질 수 있어요. 칼슘 또는 비타민 D 보충제의 복용이 도움이 될 수 있어요. ,
4016,페니토인(Phenytoin),이 약을 복용시 혈중 엽산 농도가 낮아질 수 있어요. 엽산 보충제의 복용이 도움이 될 수 있어요.,
4017,페니토인(Phenytoin),임산부가 이 약을 복용시 신생아는 심각한 비타민 K의 부족이 있을 수 있어요. 분만 전 임산부의 비타민 K 보충을 권해요.,
4018,페니토인나트륨(Phenytoin Sodium),음주를 삼가세요. 음주시 이 약의 약효가 감소하거나 이 약의 부작용인 느린 맥박과 졸음이 심해질 수 있어요.,
4019,페니토인나트륨(Phenytoin Sodium),칼슘 또는 마그네슘 함유 제산제 복용시 이 약의 흡수가 저해될 수 있어요. 이 약과 최소 2시간의 시간 간격을 두고 제산제를 복용하세요.,
4020,페니토인나트륨(Phenytoin Sodium),이 약을 장기복용시 혈중 칼슘 또는 비타민 D의 농도가 낮아질 수 있어요. 칼슘 또는 비타민 D 보충제의 복용이 도움이 될 수 있어요. ,
4021,페니토인나트륨(Phenytoin Sodium),이 약을 복용시 혈중 엽산 농도가 낮아질 수 있어요. 엽산 보충제의 복용이 도움이 될 수 있어요.,
4022,페니토인나트륨(Phenytoin Sodium),임산부가 이 약을 복용시 신생아는 심각한 비타민 K의 부족이 있을 수 있어요. 분만 전 임산부의 비타민 K 보충을 권해요.,
4023,플로로글루시놀(Phloroglucinol),,
4024,폴코딘일수화물(Pholcodine Monohydrate),,
4025,포레드린설페이트(Pholedrine Sulfate),,
4026,포스겐(Phosgene),,
4027,포스메트(Phosmet),,
4028,포스파티딜콜린(Phosphatidyl Choline),,
4029,포스파티딜세린(Phosphatidyl Serine),,
4030,인산(Phosphoric Acid),,
4031,인(Phosphorus),,
4032,인-32(Phosphorus-32),,
4033,폭심(Phoxim),,
4034,프탈릴설파티아졸(phthalylsulfathiazole),,
4035,피살리스(Physalis),,
4036,피소스티그민(Physostigmine),,
4037,피소스티그민살리실산염(Physostigmine Salicylate),,
4038,피소스티그민황산염(Physostigmine Sulfate),,
4039,피토헤마글루티닌(Phytohaemagglutinin),,
4040,피토나디온(Phytonadione),,
4041,피토스테롤(Phytosterol),,
4042,피카타미드(Picartamide),,
4043,염산피세나돌(Picenadol Hydrochloride),,
4044,피시바닐(Picibanil),,
4045,피크록시딘이염산염(Picloxydine Dihydrochloride),,
4046,피코드랄라진(Picodralazine),,
4047,피콜라민살리실레이트(Picolamine Salicylate),,
4048,피코타미드(Picotamide),,
4049,피크로톡신(Picrotoxin),,
4050,피쿠마스트(Picumast),,
4051,피도티모드(Pidotimod),,
4052,피그벨백신(Pigbel Vaccines),,
4053,피그먼트루빈(Pigment Rubine),,
4054,피케토프로펜(Piketoprofen),,
4055,파일워트(Pilewort),,
4056,필로카르핀(Pilocarpine),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
4057,필로카핀보레이트(Pilocarpine Borate),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
4058,필로카르핀염산염(Pilocarpine Hydrochloride),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
4059,필로카르핀질산염(Pilocarpine Nitrate),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 복용하세요.,
4060,필시카이니드염산염(Pilsicainide Hydrochloride),,
4061,피마케딘(Pimagedine),,
4062,피메크로리무스(Pimecrolimus),,
4063,피메틱센(Pimethixene),,
4064,피모벤단(Pimobendan),,
4065,피모니다졸(Pimonidazole),,
4066,피모지드(Pimozide),자몽주스 섭취를 피하세요.,
4067,피나시딜(Pinacidil),,
4068,피나베륨브롬화물(Pinaverium Bromide),,
4069,피나제팜(Pinazepam),,
4070,핀돌롤(Pindolol),,
4071,피오글리타존염산염(Pioglitazone Hydrochloride),식사와 관계없이 복용할 수 있어요. ,
4072,피오글리타존염산염(Pioglitazone Hydrochloride),"감자, 흰 빵과 같은 고탄수화물 식품은 혈당수준을 상승시켜 이 약의 필요 용량을 증가시킬 수 있어요. ",
4073,피오글리타존염산염(Pioglitazone Hydrochloride),알로에 주스는 혈당을 강하시키는 작용이 뛰어나기 때문에 이 약과 병용시 저혈당증의 위험성이 있어요.,
4074,피오글리타존염산염(Pioglitazone Hydrochloride),음주를 삼가세요. 알코올은 혈당을 낮추는 작용이 있어 음주시 저혈당증의 위험성이 있어요. ,
4075,피오글리타존염산염(Pioglitazone Hydrochloride),"녹차, 아스파라거스 추출물, 민들레 등과 같은 천연 이뇨제는 이 약의 작용을 방해하여 혈당을 상승시킬 수 있으니 주의하세요.",
4076,피오글리타존염산염(Pioglitazone Hydrochloride),식이섬유 섭취시 이 약과 2시간 이상의 시간 간격을 두면 좋아요.,
4077,피팜페론(Pipamperone),,
4078,염산피팜페론(Pipamperone Hydrochloride),,
4079,피파제테이트(Pipazetate),,
4080,피파제테이트염산염(Pipazethate Hydrochloride),,
4081,피페쿠로늄브롬화물(Pipecuronium Bromide),,
4082,피페미드산수화물(Pipemidic Acid Hydrate),,
4083,피펜졸레이트브로마이드(Pipenzolate Bromide),,
4084,피페퀴아린(Pipequaline),,
4085,피페라세타진(Piperacetazine),,
4086,피페라실린수화물(Piperacillin Hydrate),,
4087,피페라실린나트륨(Piperacillin Sodium),,
4088,인산피페라퀸(Piperaquine Phosphate),,
4089,피페라진(Piperazine),,
4090,피페라진아디프산염(Piperazine Adipate),,
4091,피페라진시트르산염수화물(Piperazine Citrate Hydrate),,
4092,피페라진육수화물(Piperazine Hexahydrate),,
4093,피페라진인산염수화물(Piperazine Phosphate Hydrate),,
4094,피페리디온(Piperidione),,
4095,피페리돌레이트염산염(Piperidolate Hydrochloride),,
4096,피페로날(Piperonal),,
4097,피페로닐부톡시드(Piperonyl Butoxide),,
4098,피페타네이트에토브로마이드(Pipethanate Ethobromide),,
4099,피포브로만(Pipobroman),,
4100,피포티아진(Pipotiazine),,
4101,피포티아진팔미테이트(Pipotiazine Palmitate),,
4102,피폭솔란(Pipoxolan),,
4103,피폭솔란염산염(Pipoxolan Hydrochloride),,
4104,염산피프라드롤(Pipradrol Hydrochloride),,
4105,피프라테콜(Pipratecol),,
4106,피프린히드리네이트(Piprinhydrinate),,
4107,피프로졸린(Piprozolin),,
4108,염산피퀸돈(Piquindone Hydrochloride),,
4109,피라세탐(Piracetam),음주를 삼가세요. 음주시 이 약의 약효가 감소하거나 이 약의 부작용인 느린 맥박과 졸음이 심해질 수 있어요.,
4110,염산피란다민(Pirandamine Hydrochloride),,
4111,피라루비신(Pirarubicin),,
4112,피라졸락(Pirazolac),,
4113,피르부테롤아세테이트(Pirbuterol Acetate),,
4114,염산피르부테롤(Pirbuterol Hydrochloride),,
4115,피레녹신나트륨(Pirenoxine Sodium),,
4116,피렌페론(Pirenperone),,
4117,피렌제핀염산염수화물(Pirenzepine Hydrochloride Hydrate),,
4118,피레타니드(Piretanide),,
4119,피르페니돈(Pirfenidone),,
4120,피르글루타진(Pirglutargine),,
4121,피리베딜(Piribedil),,
4122,피리독실레이트(Piridoxilate),,
4123,피리피브레이트(Pirifibrate),,
4124,메틸피리미포스(Pirimiphos-Methyl),,
4125,피리프로스트(Piriprost),,
4126,피리숙시데아놀디말레산염(Pyrisuccideanol Dimaleate),,
4127,피리트라미트(Piritramide),,
4128,피리트렉심이세티오네이트(Piritrexim Isetionate),,
4129,염산피를리마이신(Pirlimycin Hydrochloride),,
4130,피를린돌(Pirlindole),,
4131,피르마그렐(Pirmagrel),,
4132,염산피르메놀(Pirmenol Hydrochloride),,
4133,피록톤올아민(Piroctone Olamine),,
4134,피로다비어(Pirodavir),,
4135,피로미드산(Piromidic Acid),,
4136,염산피록산트론(Piroxantrone Hydrochloride),,
4137,피록시캄(Piroxicam),,
4138,피록시캄베타덱스(Piroxicam Betadex),,
4139,피록시몬(Piroximone),,
4140,피로자딜(Pirozadil),,
4141,피르프로펜(Pirprofen),,
4142,피르퀴노졸(Pirquinozol),,
4143,피타바스타틴(Pitavastatin),식사와 관계없이 복용할 수 있어요. ,
4144,피타바스타틴(Pitavastatin),음주를 삼가세요. 간독성의 위험성이 커질 수 있어요.,
4145,피토페논염산염(Pitofenone Hydrochloride),,
4146,피바가빈(Pivagabine),,
4147,피밤피실린(Pivampicillin),,
4148,피밤피실린염산염(Pivampicillin Hydrochloride),,
4149,세팔렉신피복실염산염(Cephalexin Pivoxil Hydrochloride),,
4150,피브메실리남(Pivmecillinam),,
4151,피브메실리남염산염(Pivmecillinam Hydrochloride),,
4152,피보프릴(Pivopril),,
4153,피조티펜(Pizotifen),,
4154,피조티펜말산염(Pizotifen Malate),,
4155,플라피브리드(Plafibride),,
4156,페스트백신(Plague Vaccines),,
4157,사람혈장(Human Plasma),,
4158,플라스미노젠(Plasminogen),,
4159,플라스틱(Plastics),,
4160,혈소판(Platelets),,
4161,플라티필린에시드타르트레이트(Platyphylline Acid Tartrate),,
4162,플라우노톨(Plaunotol),,
4163,플레코나릴(Pleconaril),,
4164,아스클레피아스(Pleurisy Root),,
4165,플리카마이신(Plicamycin),,
4166,폐렴구균백신(Pneumococcal Polysaccharide Vaccine),,
4167,파라니트로페놀(p-nitrophenol),,
4168,포도필룸(Podophyllum),,
4169,포도필룸수지(Podophyllum Resin),,
4170,독버섯(Poisonous Mushrooms or Toadstools),,
4171,서양자리공(Pokeroot),,
4172,폴라크릴린칼륨(Polacrilin Potassium),,
4173,폴라프레징크(Polaprezinc),,
4174,폴딘메칠설페이트(Poldine Metilsulfate),,
4175,폴리코사놀(Policosanol),,
4176,폴리크레줄렌(Policresulen),,
4177,폴리덱시드(Polidexide),,
4178,폴리헥사메틸렌비구아니드염산염(Polyhexamethylene Biguanide Hydrochloride),,
4179,불활화폴리오백신(Inactivated Poliomyelitis Vaccine),,
4180,폴록사머(Poloxamer),,
4181,폴리A.폴리U(Poly A.poly U),,
4182,폴리I.폴리C(Poly I.poly C),,
4183,폴리I.폴리C12U(Poly I.poly C12U),,
4184,폴리카르보필(Polycarbophil),,
4185,폴리카르보필칼슘(Calcium Polycarbophil),,
4186,폴리에스트라디올포스페이트(Polyestradiol Phosphate),식사와 관계없이 매일 일정한 시간에 복용하세요.,
4187,폴리에스트라디올포스페이트(Polyestradiol Phosphate),경구피임제는 체내 엽산을 감소시킬 수 있어요. 엽산 보충제 복용이 도움을 줄 수 있어요.,
4188,폴리에스트리올포스페이트(Polyestriol Phosphate),,
4189,폴리에틸렌(Polyethylene),,
4190,산화폴리에칠렌(Polyethylene Oxide),,
4191,폴리게린(Polygeline),,
4192,폴리믹신B황산염(Polymyxin B Sulfate),,
4193,폴리녹시린(Polynoxylin),,
4194,폴리옥실올레일에테르(Polyoxyl Oleyl Ether),,
4195,폴리옥실20세토스테아릴에테르(Polyoxyl 20 Cetostearyl Ether),,
4196,폴리옥실피마자유(Polyoxyl Castor Oil),,
4197,마크로골글리세롤하이드록시스테아레이트(Macrogolglycerol Hydroxystearate),,
4198,폴리프로로글루시놀포스페이트(Polyphloroglucinol Phosphate),,
4199,폴리프레노익에시드(Polyprenoic Acid),,
4200,폴리사카리드철착염(Polysaccharide Iron Complex),,
4201,폴리사카리드K(Polysaccharide-K),,
4202,폴리소르베이트(Polysorbate),,
4203,폴리테프(Polytef),,
4204,폴리티아지드(Polythiazide),,
4205,폴리비닐아세테이트프탈레이트(Polyvinyl Acetate Phthalate),,
4206,폴리비닐알코올(Polyvinyl Alcohol),,
4207,석류피(Granate Bark),,
4208,포날레스타트(Ponalrestat),,
4209,뉴콕신(New Coccine),,
4210,포플라(Poplar Buds),,
4211,양귀비(Poppy Capsule),,
4212,양귀비종자유(Poppy-seed Oil),,
4213,포르피머나트륨(Porfimer Sodium),,
4214,포르피로마이신(Porfiromycin),,
4215,포사코나졸(Posaconazole),식사와 함께 복용하세요. 식사를 할 수 없는 경우에는 경구용 영양보충제와 함께 복용시 약물의 적정 흡수가 이루어져요.,
4216,포사티렐린(Posatirelin),,
4217,칼륨(Potassium),,
4218,아세트산칼륨(Potassium Acetate),,
4219,타르타르산수소칼륨(Potassium Hydrogen Tartrate),,
4220,아미노벤조산칼륨(Aminobenzoate Potassium),,
4221,탄산수소칼륨(Potassium Bicarbonate),,
4222,중아황산칼륨(Potassium Bisulfite),,
4223,포타슘보로타르트레이트(Potassium Borotartrate),,
4224,포타슘브로메이트(Potassium Bromate),,
4225,칸레노산칼륨(Potassium Canrenoate),,
4226,염소산칼륨(Potassium Chlorate),,
4227,염화칼륨(Potassium Chloride),,
4228,시트르산칼륨수화물(Potassium Citrate Hydrate),,
4229,클라불란산칼륨(Clavulanate Potassium),"위장장애를 줄이고 적절한 약의 흡수를 위해 식사 초기에 복용하세요. 단, 고지방식이와 같이 복용하면 클라불린산의 흡수를 떨어뜨릴 수 있으므로 피하세요.",
4230,글루콘산칼륨(Potassium Gluconate),,
4231,수산화칼륨(Potassium Hydroxide),,
4232,황산히드록시퀴놀린칼륨(Potassium Hydroxyquinoline Sulfate),,
4233,요오드산칼륨(Potassium Iodate),,
4234,요오드화칼륨(Potassium Iodide),,
4235,피로아황산칼륨(Potassium Pyrosulfite),,
4236,메타인산칼륨(Potassium Metaphosphate),,
4237,질산칼륨(Potassium Nitrate),,
4238,과염소산칼륨(Potassium Perchlorate),,
4239,과망간산칼륨(Potassium Permanganate),,
4240,폴리스티렌설폰산칼륨(Potassium Polystyrene Sulfonate),,
4241,셀렌산칼륨(Potassium Selenate),,
4242,타르타르산칼륨나트륨수화물(Potassium Sodium Tartrate Hydrate),,
4243,소르베이트칼륨(Potassium Sorbate),,
4244,황산칼륨(Potassium Sulfate),,
4245,주석산칼륨(Potassium Tartrate),,
4246,포타슘-40(Potassium-40),,
4247,포타슘-42(Potassium-42),,
4248,포비돈(Povidone),,
4249,포비돈요오드(Povidone Iodine),,
4250,뇌하수체(전엽)(Pituitary (Posterior Lobe)),,
4251,프락토롤(Practolol),,
4252,프라즈마리움바이타르트레이트(Prajmalium Bitartrate),,
4253,프랄리독심(Pralidoxime),,
4254,프랄리독심염화물(Pralidoxime Chloride),,
4255,요오드화프랄리독심(Pralidoxime Iodide),,
4256,프랄리독심메실레이트(Pralidoxime Mesilate),,
4257,프랄리독심메칠설페이트(Pralidoxime Metilsulfate),,
4258,프라미펙솔염산염(Pramipexole Hydrochloride),식사와 함께 복용하면 위장장애를 줄일 수 있어요.,
4259,프라미펙솔염산염(Pramipexole Hydrochloride),"음주를 삼가세요. 음주시 이 약의 부작용(졸음, 어지러움증 등)이 심해질 수 있어요.",
4260,황산프라미라세탐(Pramiracetam Sulfate),,
4261,염산프라미베린(Pramiverin Hydrochloride),,
4262,프람린티드(Pramlintide),,
4263,프란루카스트(Pranlukast),,
4264,프라노프로펜(Pranoprofen),,
4265,프라노살(Pranosal),,
4266,프라스테론(Prasterone),,
4267,프라스테론에난테이트(Prasterone Enantate),,
4268,프라스테론소듐설페이트(Prasterone Sodium Sulfate),,
4269,프라바스타틴나트륨(Pravastatin Sodium),식사와 관계없이 복용할 수 있어요. ,
4270,프라바스타틴나트륨(Pravastatin Sodium),음주를 삼가세요. 간독성의 위험성이 커질 수 있어요.,
4271,프라제팜(Prazepam),,
4272,프라지쿠안텔(Praziquantel),,
4273,프라조신염산염(Prazosin Hydrochloride),식사와 관계없이 복용할 수 있어요.,
4274,프레드나졸린(Prednazoline),,
4275,프레드니카르베이트(Prednicarbate),,
4276,프레드니무스틴(Prednimustine),,
4277,염산프레드니솔라메이트(Prednisolamate Hydrochloride),,
4278,프레드니솔론(Prednisolone),,
4279,프레드니솔론아세테이트(Prednisolone Acetate),,
4280,프레드니솔론카프로에이트(Prednisolone Caproate),,
4281,프레드니솔론헤미숙시네이트(Prednisolone Hemisuccinate),,
4282,프레드니솔론나트륨메타설포벤조에이트(Prednisolone Metasulfobenzoate Sodium),,
4283,프레드니솔론피발레이트(Prednisolone Pivalate),,
4284,프레드니솔론포스페이트나트륨(Prednisolone Sodium Phosphate),,
4285,프레드니솔론나트륨숙시네이트(Prednisolone Sodium Succinate),,
4286,프레드니솔론스테아로일글리콜레이트(Prednisolone 21-Stearoylglycolate),,
4287,프레드니솔론테부테이트수화물(Prednisolone Tebutate Hydrate),,
4288,프레드니손(Prednisone),,
4289,프레드니손아세테이트(Prednisone Acetate),,
4290,프레드닐리덴(Prednylidene),,
4291,프레가발린(Pregabalin),음주를 삼가세요. 음주시 이 약의 약효가 감소하거나 이 약의 부작용인 느린 맥박과 졸음이 심해질 수 있어요.,
4292,염산프레날테롤(Prenalterol Hydrochloride),,
4293,프레녹스디아진염산염(Prenoxdiazine Hydrochloride),,
4294,프레닐아민(Prenylamine),,
4295,프레닐아민락테이트(Prenylamine Lactate),,
4296,프레스카미드(Prethcamide),,
4297,프레자티드코퍼아세테이트(Prezatide Copper Acetate),,
4298,프리디놀메실산염(Pridinol Mesilate),,
4299,브롬화프리피늄(Prifinium Bromide),,
4300,프리마퀸인산염(Primaquine Phosphate),자몽주스 섭취를 피하세요.,
4301,프리미돈(Primidone),음주를 삼가세요. 음주시 이 약의 약효가 감소하거나 이 약의 부작용인 느린 맥박과 졸음이 심해질 수 있어요.,
4302,프리물라근(Primula Root),,
4303,프리스티나마이신(Pristinamycin),,
4304,염산프리지디롤(Prizidilol Hydrochloride),,
4305,염산프로아디펜(Proadifen Hydrochloride),,
4306,프로베네시드(Probenecid),,
4307,프로부콜(Probucol),,
4308,프로카인아미드염산염(Procainamide Hydrochloride),,
4309,프로카인페니실린G수화물(Procaine Penicillin G Hydrate),,
4310,프로카르바진염산염(Procarbazine Hydrochloride),,
4311,프로카테롤염산염수화물(Procaterol Hydrochloride Hydrate),"중추신경을 자극하는 인삼, 마황, 감초뿌리 복용에 주의하세요. 혈압상승의 위험성이 있어요. ",
4312,프로클로르페라진(Prochlorperazine),,
4313,프로클로르페라진에디실산염(Prochlorperazine Edisylate),,
4314,프로클로르페라진말레산염(Prochlorperazine Maleate),,
4315,프로클로페라진메실레이트(Prochlorperazine Mesilate),,
4316,프로시노니드(Procinonide),,
4317,프로코다졸(Procodazole),,
4318,프로시클리딘염산염(Procyclidine Hydrochloride),이 약을 복용하는 동안 입이 마를 수 있어요. 충분한 물을 자주 섭취하세요.,
4319,프로시클리딘염산염(Procyclidine Hydrochloride),음주를 삼가세요. 중추신경 억제효과가 심해져요.,
4320,프로시클리딘염산염(Procyclidine Hydrochloride),"제산제를 복용시, 제산제 복용 최소 1시간 이전에 이 약을 복용하세요. ",
4321,염산에토프로파진(Ethopropazine Hydrochloride),,
4322,프로플라빈헤미설페이트(Proflavine Hemisulfate),,
4323,프로가비드(Progabide),,
4324,프로게스테론(Progesterone),,
4325,프로글루메타신말레산염(Proglumetacin Dimaleate),,
4326,프로글루미드(Proglumide),,
4327,프로구아닐염산염(Proguanil Hydrochloride),,
4328,프로락틴(Prolactin),,
4329,프로리게스톤(Proligestone),,
4330,L-프롤린(L-Proline),,
4331,프롤린탄염산염(Prolintane Hydrochloride),,
4332,프로로니움브로마이드(Prolonium Bromide),,
4333,프로로니움요오드(Prolonium Iodide),,
4334,프로마진엠보네이트(Promazine Embonate),,
4335,프로마진염산염(Promazine Hydrochloride),,
4336,프로메게스톤(Promegestone),,
4337,세미알칼린프로테아제(Semi-Alkaline Protease),,
4338,프로메스트리엔(Promestriene),,
4339,프로메타진(Promethazine),,
4340,프로메타진염산염(Promethazine Hydrochloride),,
4341,프로메타진테오클산염(Promethazine Teoclate),,
4342,프로모레이트(Promolate),,
4343,프로파세타몰염산염(Propacetamol Hydrochloride),,
4344,프로파페논염산염(Propafenone Hydrochloride),,
4345,프로파게르마늄(Propagermanium),,
4346,프로파미딘이세티오네이트(Propamidine Isetionate),,
4347,프로판(Propane),,
4348,프로파니디드(Propanidid),,
4349,프로판텔린브롬화물(Propantheline Bromide),,
4350,프로파틸니트레이트(Propatylnitrate),,
4351,프로페니다졸(Propenidazole),,
4352,프로펜토필린(Propentofylline),,
4353,프로페탐포스(Propetamphos),,
4354,포타슘프로피실린(Propicillin Potassium),,
4355,프로피오락톤(Propiolactone),,
4356,프로피오마진(Propiomazine),,
4357,염산프로피오마진(Propiomazine Hydrochloride),,
4358,프로피오마진말레이트(Propiomazine Maleate),,
4359,프로피온산(Propionic Acid),,
4360,프로피오닐프로마진(Propionylpromazine),,
4361,프로피람푸마레이트(Propiram Fumarate),,
4362,프로피베린염산염(Propiverine Hydrochloride),식사와 관계없이 복용할 수 있어요.,
4363,프로피베린염산염(Propiverine Hydrochloride),음주를 삼가세요.,
4364,염산프로피제핀(Propizepine Hydrochloride),,
4365,프로포폴(Propofol),,
4366,프로폴리스(Propolis),,
4367,프로폭수르(Propoxur),,
4368,프로프라놀롤염산염(Propranolol Hydrochloride),음주를 삼가세요. 음주시 이 약의 부작용(심장박동과 호흡의 느려짐 등)이 심해질 수 있어요.,
4369,프로판올(Propanol),,
4370,갈르산프로필(Propyl Gallate),,
4371,파라옥시벤조산프로필(Propylparaben),,
4372,프로필니코티네이트(Propyl Nicotinate),,
4373,프로필렌카보네이트(Propylene Carbonate),,
4374,프로필렌글리콜(Propylene Glycol),,
4375,프로필렌글라이콜알지네이트(Propylene Glycol Alginate),,
4376,프로필렌글리콜디아세테이트(Propylene Glycol Diacetate),,
4377,프로필렌글리콜디라우레이트(Propylene Glycol Dilaurate),,
4378,프로필렌글리콜라우레이트(Propylene Glycol Laurate),,
4379,프로필렌글리콜모노라우레이트(Propylene Glycol Monolaurate),,
4380,프로필렌글리콜모노스테아레이트(Propylene Glycol Monostearate),,
