질병명,권장식재료,권장영양소,주의식재료,주의영양소
고혈압 ,"채소, 콩, 미역, 다시마, 파래",식물성지방,"소금, 소시지, 햄, 치즈, 조개, 새우,해삼, 게, 장어, 달걀노른자,  크림, 버터, 삼겹살, 갈비, 라면 ,커피, 초콜릿","나트륨, 포화지방, 콜레스테롤, 동물성지방, 카페인"
골다공증 ,,"칼슘,수분,섬유소",,
당뇨병 ,"양배추, 샐러리, 오이, 양상추, 김, 미역, 다시마, 곤약","섬유소,지방","설탕,꿀,물엿, 계란노른자, 새우, 오징어, 김치",콜레스테롤
복막투석 ,,,"감자, 옥수수, 버섯, 쑥","염분, 인"
빈혈 ,"굴,채소,미역, 다시마, 파래,달걀, 과일, 꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치, 채소","철분, 단백질, 비타민","차, 커피",카페인
심장질환 ,",미역, 다시마, 파래,생채소,생과일","섬유소,수분","콩,양배추,양파, 삼겹살,베이컨,버터,치즈,생크림,라면, 달걀노른자,메추리알,곱창,새우,오징어,문어,낙지,장어,소금,간장,된장,고추장,마요네즈","포화지방, 콜레스테롤, 염분"
암환자 ,,,"돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,계란,두부,콩,우유,버터,치즈",단백질
요로결석 ,,,"김치,자반고등어,우유,멸치,검정콩,미역,다시마,파래,흑설탕,시금치, 상추, 가지, 부추,실파,샐러리,딸기,포도,귤,차,초코렛,코코아,견과류,대황,비트,두부,콩,고구마","칼슘,염분, 수산"
임신성 당뇨병 ,"채소, 미역, 다시마, 파래 ",섬유소,"설탕,꿀,물엿, 계란 노른자, 오징어, 새우, 젓갈, 내장, 라면, 김치",콜레스테롤
저요오드,,,"김,미역,다시마,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,멸치,조개,우유,달걀노른자,간장,된장,김치",요오드
지방간 ,"돼지고기,쇠고기,닭고기,꽁치,고등어,아귀,대구,광어,굴비,코다리,연어,조기,참치,콩,달걀,우유",단백질,"설탕,꿀,밥,빵,떡,감자,고구마,과일",
혈액투석 ,,,"감자,옥수수,버섯,쑥","염분, 인"
